NOM_MUNICI;DEPARTAMEN;Codigo_DANE;REGION
MESETAS;META;50330;Orinoquia
MILAN;CAQUETA;18460;Amazonia
MIRAFLORES_BOY;BOYACA;15455;Andina
MIRAFLORES_GUA;GUAVIARE;95200;Amazonia
MIRANDA;CAUCA;19455;Andina
MIRITI-PARANA (Campoamor) (Cor. Departamental);AMAZONAS;91460;Amazonia
MISTRATO;RISARALDA;66456;Andina
MITU;VAUPES;97001;Amazonia
MOCOA;PUTUMAYO;86001;Amazonia
MOGOTES;SANTANDER;68464;Andina
MOLAGAVITA;SANTANDER;68468;Andina
MOMIL;CORDOBA;23464;Caribe
MOMPOS;BOLIVAR;13468;Caribe
MONGUA;BOYACA;15464;Andina
MONGUI;BOYACA;15466;Andina
MONIQUIRA;BOYACA;15469;Andina
MONITOS;CORDOBA;23500;Caribe
MONTANITA;CAQUETA;18410;Amazonia
MONTEBELLO;ANTIOQUIA;5467;Andina
